description,unit,rate
P/F 37 mm thick factory made PVC Door shutter having overall dimension 115mm x 37mm with wall thickness 2 mm,One Square Metre,4362.0
Using R2 series with frame (40mm & above) x (40mm & above) & sash (25mm & above) x (50mm & above) with zinc alloy (zamak) powder coated touch locks with hook (Height upto 1.2 meter),One Square Metre,8299.0
Using R3 series with frame (55mm & above) x (40mm & above) & sash (30mm & above) x (55mm & above) with zinc alloy (zamak) powder coated handle on every panel along with multi-point locking system (Height upto 1.8m),One Square Metre,8799.0
Using R4 series with frame (64mm & above) x (45mm & above) & sash (44mm & above) x (55mm & above) with zinc alloy (zamak) powder coated handle on every panel along with multi-point locking system (Height above 1.8m).,One Square Metre,9629.0
Using R3 series with frame (55mm & above) x (40mm & above) & sash (30mm & above) x (55mm & above) (Height upto 1.8m).,One Square Metre,7860.0
Using R4 series with frame (64mm & above) x (45mm & above) & sash (44mm & above) x (55mm & above) (Height above 1.8m).,One Square Metre,8580.0
Using R2 series with frame (65mm & above) x (40mm & above) & glazed sash (25mm & above) x (50mm & above) & fly screen sash (18mm & above) x (40mm & above) with zinc alloy (zamak) powder coated touch locks with hook (Height upto 1.2 meter),One Square Metre,9873.0
Using R3 series with frame (85mm & above) x (40mm & above) & glazed sash (30mm & above) x (55mm & above) & fly screen sash (20mm & above) x (50mm & above) with zinc alloy (zamak) powder coated handle on every glazed panel along with multi-point locking system. (Height upto 1.8 meter).,One Square Metre,9969.0
Using R2 series with frame (70mm & above) x (40mm & above) & both glazed and fly screen sash (25mm & above) x (50mm & above) with zinc alloy (zamak) powder coated touch locks with hook. (Height upto 1.2 meter).,One Square Metre,10994.0
"Using R3 series with frame (98mm & above) x (40mm & above) & both glazed and fly screen sash (30mm & above) x (55mm & above) with zinc alloy (zamak) powder coated handle on every glazed panel along with multi-point locking system, (Height upto 1.8m).",One Square Metre,10874.0
Using R4 series with frame (115mm & above) x (45mm & above) & both glazed and fly screen sash (44mm & above) x (55mm & above) with zinc alloy (zamak) powder coated handle on every glazed panel along with multi-point locking system. (Height above 1.8m),One Square Metre,12372.0
Using R2 series with frame (70mm & above) x (40mm & above) & sash (25mm & above) x (50mm & above) with zinc alloy (zamak) powder coated touch locks with hook. (Height upto 1.2 meter).,One Square Metre,8748.0
Using R3 series with frame (98mm & above) x (40mm & above) & sash (30mm & above) x (55mm & above) with zinc alloy (zamak) powder coated handle on two end panels along with multi-point locking system (Height upto 1.8 meter).,One Square Metre,8544.0
Using R4 series with frame (115mm & above) x (45mm & above) & sash (44mm & above) x (55mm & above) with zinc alloy (zamak) powder coated handle on two end panels along with multi-point locking system. (Height above 1.8 meter).,One Square Metre,9888.0
Using R3 series with frame (55mm & above) x (40mm & above) & sash (30mm & above) x (74mm & above). (Height upto 2.5 meter).,One Square Metre,8106.0
"Using R4 series with frame (64mm & above) x (45mm & above) & sash (44mm & above) x (85mm & above). (Height above 2,5 meter).",One Square Metre,7733.0
Using R3 series with frame (55mm & above) x (40mm & above) & sash (30mm & above) x (74mm & above). (Height upto 2 5 meter).,One Square Metre,7345.0
Using R4 series with frame (64mm & above) x (45mm & above) & sash (44mm & above) x (85mm & above). (Height above 2.5 meter).,One Square Metre,7197.0
Using R3 series with frame (98mm & above) x (40mm & above) & both glazed and fly screen sash (30mm & above) x (74mm & above). (Height upto 2.5 meter).,One Square Metre,10079.0
Using R4 series with frame (115mm & above) x (45mm & above) & both glazed and fly screen sash (44mm & above) x (85mm & above). (Height above 2.5 meter).,One Square Metre,9895.0
Using R3 series with frame (98mm & above) x (40mm & above) & sash (30mm & above) x (74mm & above). (Height upto 2.5 meter).,One Square Metre,8287.0
Using R4 series with frame (115mm & above) x (45mm & above) & sash (44mm & above) x (85mm & above). (Height above 2.5 meter).,One Square Metre,7944.0
Using R1 series with frame (33mm & above ) x (35mm & above). (Height upto 0.90 meter),One Square Metre,8247.0
Using R2 series with frame (39mm & above ) x (39mm & above). (Height upto 1.2 meter),One Square Metre,8055.0
Using R3 series with frame (55mm & above (45mm & above). (Height upto 2.5 meter),One Square Metre,7080.0
Using R4 series with frame (64mm & above ) x (50mm & above). (Height above 2.5 meter),One Square Metre,6033.0
Using R1 series with frame (33mm & above ) x (35mm & above) & mullion (33mm & above) x (50mm & above). (Height upto 0.90 meter),One Square Metre,9155.0
Using R2 series with frame (39mm & above ) x (39mm & above) & mullion (39mm & above) x (60mm & above). (Height upto 1.2 meter),One Square Metre,8765.0
Using R3 series with frame (55mm & above ) x (45mm & above) & mullion (55mm & above) x (65mm & above). (Height upto 2.5 meter),One Square Metre,7828.0
Using R4 series with frame (64mm & above ) x (50mm & above) & mullion (64mm & above) x (70mm & above). (Height above 2.5 meter),One Square Metre,6529.0
Using R1 series with frame (33mm & above ) x (35mm & above) & sash /mullion (33mm & above) x (50 mm & above). (Height upto 0.90 meter).,One Square Metre,13201.0
Using R2 series with frame (39mm & above ) x (39mm & above) & sash /mullion (39mm & above) x (60mm & above). (Height upto 1.2 meter),One Square Metre,12255.0
Using R3 series with frame (55mm & above ) x (45mm & above) & sash /mullion (55mm & above) x (65mm & above). (Height above 1.2 meter),One Square Metre,11920.0
Using R2 series with frame (39mm & above) x (39mm & above) & sash (39mm & above) x (60mm & above). (Height upto 1.2 meter),One Square Metre,14449.0
Using R3 series with frame (55mm & above ) x (45mm & above) & sash (55mm & above) x (65mm & above). (Height upto 1.8 meter),One Square Metre,13387.0
Using R4 series with frame (64mm & above ) x (50mm & above) & sash (64mm & above) x (70mm & above). (Height above 1.8 meter),One Square Metre,14587.0
Using R2 series with frame (39mm & above ) x (39mm & above) & sash (39mm & above) x (60mm & above) & mullion (39mm & above) x (60mm & above). (Height upto 1.2 meter).,One Square Metre,13079.0
Using R3 series with frame (55mm & above ) x (45mm & above) & sash (55mm & above) x (65mm & above) & mullion (55mm & above) x (65mm & above). (Height upto 1.8 meter).,One Square Metre,12473.0
Using R4 series with frame (64mm & above ) x (50mm & above) & sash (64mm & above) x (70mm & above) & mullion (64mm & above) x (70mm & above). (Height above 1.8 meter).,One Square Metre,13477.0
Using R2 series with frame (39mm & above ) x (39mm & above) & sash (39mm & above) x (60mm & above) & French (False) mullion (39mm & above) x (60mm & above). (Height upto 1.2 meter),One Square Metre,11716.0
"Using R3 series with frame (55mm & above ) x (45mm & above) & sash (55mm & above) x (65mm & above) & French (False) mullion (55mm & above) x (60mm & above), (Height upto 1.8 meter).",One Square Metre,11467.0
Using R4 series with frame (64mm & above ) x (50mm & above) & sash (64mm & above) x (70mm & above) & French (False) mullion (64mm & above) x (60mm & above). (Height above 1.8 meter),One Square Metre,12496.0
Using R2 series with frame (39mm & above ) x (39mm & above) & sash (39mm & above) x (60mm & above) & mullion (39mm & above) x (60mm & above). (Height upto 1.2 meter; each openable shutter upto 0 8m width),One Square Metre,9870.0
"Using R3 series with frame (55mm & above ) x (45mm & above) & sash (55mm & above) x (65mm & above) & mullion (55mm & above) x (65mm & above). (Height upto 1.8 meter, each openable shutter upto 0.8m width)",One Square Metre,9308.0
Using R4 series with frame (64mm & above ) x (50mm & above) & sash (64mm & above) x (70mm & above) & mullion (64mm & above) x (70mm & above). (Height above 1.8 meter; each openable shutter upto 0.8m width),One Square Metre,10213.0
Using R2 series with frame (39mm & above) x (39mm & above) & sash (39mm & above) x (60mm & above) & mullion (39mm & above) x (60mm & above). (Height upto 1.2 meter; each openable shutter upto 0.8m width),One Square Metre,10474.0
Using R3 series with frame (55mm & above) x (45mm & above) & sash (55mm & above) x (65mm & above) & mullion (55mm & above) x (65mm & above). (Height upto 1.8 meter; each openable shutter upto 0.8m width),One Square Metre,10051.0
Using R4 series with frame (64mm & above ) x (50mm & above) & sash (64mm & above) x (70mm & above) & mullion (64mm & above) x (70mm & above). (Height above 1.8 meter; each openable shutter upto 0.8m width),One Square Metre,10201.0
Using R3 series with frame (110mm & above ) x (45mm & above) & glazed sash (55mm & above) x (65mm & above) & fly screen sash (30mm & above) x (55mm & above) & metal grill (if required to be paid separately). (Height upto 1.8 meter),One Square Metre,22785.0
Using R3 series with frame (110mm & above ) x (45mm & above) & glazed sash (55mm & above) x (65mm & above) & f!y screen sash (30mm & above) x (55mm & above) & mullion (55mm & above) x (65mm & above) & metal grill (if required to be paid separately). (Height upto 1.8 meter),One Square Metre,20576.0
Using R3 series with frame (110mm & above ) x (45mm & above) & glazed sash (55mm & above) x (65mm & above) & f!y screen sash (30mm & above) x (55mm & above) & mullion (55mm & above) x (65mm & above) & metal grill (if required to be paid separately). (Height upto 1.8 meter),One Square Metre,19048.0
Using R3 series with frame (55 mm & above) x (50mm & above) & sash (55 mm & above) x (85mm & above) (Height upto 2.5 meter).,One Square Metre,12496.0
Using R4 series with frame (64 mm & above) x (55mm & above) & sash (64 mm & above) x (100mm & above). (Height above 2.5 meter).,One Square Metre,12454.0
Using R3 series with frame (55 mm & above) x (50mm & above) & sash (55 mm & above) x (85mm & above) & French (False) mullion (55 mm & above) x (60mm & above). (Height upto 2.5 meter).,One Square Metre,11904.0
Using R4 series with frame (64 mm & above) x (55mm & above) & sash (64 mm & above) x (100mm & above) & French (False) mullion (64 mm & above) x (60mm & above). (Height above 2.5 meter).,One Square Metre,11819.0
Using R3 series with frame (110mm & above) x (45mm & above) & glazed sash (55mm & above) x (85mm & above) & fly screen sash (55mm & above) x (65mm & above). (Height upto 2.5 meter).,One Square Metre,19994.0
200 x 19 x 1.9 mm,Each,381.0
250 x 19 x 1.9 mm,Each,423.0
300 x 19 x 1.9 mm,Each,460.0
350 x 19 x 1.9 mm,Each,625.0
400 x 19 x 1.9 mm,Each,610.0
P/F casement handle made of zinc alloyed (white powder coated) for uPVC casement window.,Each,231.0
P/F zinc alloyed (white powder coated) touch lock for uPVC sliding window.,Each,204.0
P/F steel roller for uPVC sliding window with necessary screws etc. complete.,Each,116.0
Providing and fixing steel roller for uPVC sliding door with necessary screws etc. complete.,Each,186.0
P/F steel (white power coated) crescent lock for uPVC sliding window/ door.,Each,198.0
Providing and fixing frame work for partitions/ wall lining etc.,One Kilogram,167.0
"P/F panelling / glazing in panelled / glazed shutters for doors, windows : Pre-laminated with decorative lamination on both side exterior Grade MDF Board 12 mm thick.",One Square Metre,1957.0
Pre-laminated with decorative lamination on both side exterior Grade - I MDF Board 12 mm thick confirming to IS:14587,One Square Metre,1032.0
Pre-laminated with decorative lamination on both side exterior Grade - I MDF Board 18 mm thick confirming to IS:14588,One Square Metre,1248.0
Pre-laminated with decorative lamination one side - I MDF Board 18 mm thick.,One Square Metre,1416.0
Pre-laminated with decorative lamination one side MDF Board 25 mm thick.,One Square Metre,1875.0
12 mm thick.,One Square Metre,1213.0
18 mm thick.,One Square Metre,1437.0
25 mm thick.,One Square Metre,1912.0
P/F 25mm thick pre-laminated MDF one side decorative for cupboard shutters edges to be sealed with PVC edge bending tape 2.00.,One Square Metre,2135.0
18 mm thick.,One Square Metre,2077.0
25 mm thick.,One Square Metre,2552.0
Providing and fixing fire resistant door frame of section 50 x 60 mm on horizontal side & 35 x 60 mm,One Metre,2203.0
P/F 60 mm thick glazed fire resistant door shutters of 120 min Fire Rating confirming to IS:3614 (Part II),One Square Metre,12018.0
Providing and fixing non load bearing fixed frame for fire resistant glazed Partition for 120 minutes Fire Rating,One running Metre,2203.0
200 mm,Each,187.0
Providing and fixing stainless steel soft closing heavy type telescopic drawer channels of approved make 500 mm long with screws etc. complete as per directions of Engineer- in-charge.,One Set,885.0
Structural work in single section fixing with or wihtout connecting plate,One Kilogram,117.0
"Structural work riveted, bolted or welded in builtup section, trusses, framed work",One Kilogram,134.0
P/F in position collapsible steel shutters with channels 20 x 10 x 2 mm,One Square Metre,11440.0
P/F 1mm thick MS sheet sliding shutters with frame & diagonal braces of 40x40x6mm angle iron,One Square Metre,6566.0
Using MS angles 40x40x6mm for diagonal braces,One Square Metre,5804.0
using flats diagonal braces and central cross piece,One Square Metre,5564.0
"80x1.25mm thick laths, 1.25mm thick top cover",One Square Metre,3653.0
"80x1.2mm thick lath, 1.2mm thick top cover",One Square Metre,3307.0
"80x0.9mm thick laths, 0.9mm thick top cover",One Square Metre,3191.0
P/F ball bearing for rolling shutters,Each,492.0
10 to 16.80 Sqm,One Square Metre,1281.0
Exceeding 16.80 Sqm,One Square Metre,1182.0
Extra for providing grilled rolling shutters,One Square Metre,768.0
Fixing with carbon steel galvanised dash fastener of required dia and size (to be paid for separately).,One Kilogram,41.0
Fixing with 15x3 mm lugs 10 cm long embedded in cement concrete block 15x10x10 cm of C.C. 1:3:6,One Kilogram,131.0
Fixing with carbon steel galvanised dash fastener of required dia and size (to be paid for separately).,One Kilogram,128.0
Extra P/F steel beading in steel windows,One Metre,50.0
Fixing with 15x3 mm lugs 10 cm. long embedded in CC block,One Kilogram,142.0
Fixing with carbon steel galvanised dash fastener.,One Kilogram,136.0
Fixing with adjustable lugs with split end tail to each jamb.,One Metre,583.0
Fixing with carbon steel galvanised dash fastener.,One Metre,570.0
Fixing with adjustable lugs with split end tail to each jamb.,One Metre,612.0
Fixing with carbon steel galvanised dash fastener,One Metre,599.0
Fixing with adjustable lugs with split end tail to each jamb.,One Metre,640.0
Fixing with carbon steel galvanised dash fastener,One Metre,627.0
Fixing with 15x3 mm lugs 10 cm. long embedded in CC block .,One Kilogram,195.0
Fixing with carbon steel galvanised dash fastener,One Kilogram,181.0
hot finished welded type tubes .,One Kilogram,194.0
Hot finished seamless type tubes.,One Kilogram,206.0
Electric resistance or induc- tion butt welded tubes.,One Kilogram,194.0
P/F MS fan clamp type I/II of 16mm dia MS bar,Each,226.0
"P/F circular/Hexagonal CI/ MS sheet box for ceiling fan clamp & top lids, clamps 12mm dia MS bar",Each,221.0
P/F MS round down bolts with nuts,One Kilogram,97.0
"P/F bolts i/c nuts, washers complete",One Kilogram,159.0
P/F MS rivets of sizes in position,One Kilogram,278.0
Welding by gas or electric plant i/c transportation of plant,One Centimetre,4.0
"in stringers, treads etc of staircase",One Kilogram,124.0
"in grating frames, guard bar, railing, gates",One Kilogram,173.0
MS tube,One Kilogram,197.0
ERW tubes,One Kilogram,206.0
GI pipes,One Kilogram,203.0
10 x60 mm,Each,131.0
10 x80 mm,Each,138.0
10 x120 mm,Each,171.0
10 x140 mm,Each,182.0
10 x160 mm,Each,225.0
P/F SS (Grade 304) railing,One Kilogram,772.0
Galvanised M.S. Wire gauze with 0.63mm dia wire and 1.4 mm aperture on both sides.,One Square Metre,845.0
Stainless steel (grade 304) wire gauze of 0.5 mm dia wire and 1.4 mm aperture on both sides.,One Square Metre,1134.0
4.0 mm thick glass panes.,One Square Metre,1065.0
5.5 mm thick glass panes.,One Square Metre,1390.0
"P/F angle iron frames for doors, windows and ventilators of mild steel Angle sections of size 35x35x5 mm welded by angle iron 35x35x5 mm or 35x 5 mm flat pieces to the existing T-iron frame",One Kilogram,131.0
1:4 (1 cement : 4 coarse sand),One Square Metre,1007.0
1:6 (1cement : 6 coarse sand),One Square Metre,966.0
Dry brick on edge floor with bricks of class 75 filling joints with local fine sand,One Square Metre,792.0
40mm thick 20mm stone agg,One Square Metre,614.0
52mm thick CC fooring with hardener topping under layer 40mm CC 1:2:4 top layer 12mm thick concrete hardner,One Square Metre,978.0
62mm thick CC with concrete hardener topping under layer 50mm thick CC 1:2:4 and top layer 12 mm thick cement hardener of mix 1:2,One Square Metre,1056.0
18 mm thick,One Square Metre,662.0
CC pavement 1:2:4 including finishing complete,One Cubic Metre,8595.0
Extra for making chequers on cement concrete floors etc,One Square Metre,84.0
Dark shade pigment with ordinary cement,One Square Metre,1066.0
Light shade pigment with white cement,One Square Metre,1093.0
Medium shade pigment with 50 % white cement and 50 % ordinary cement,One Square Metre,1075.0
White cement without any pigment,One Square Metre,1068.0
Light shade pigment with ordinary cement,One Square Metre,1062.0
Ordinary cement without any pigment,One Square Metre,1034.0
Dark shade pigment with ordinary cement,One Square Metre,1072.0
Light shade pigment with white cement.,One Square Metre,1110.0
Medium shade pigment with 50 % white cement and 50 % ordinary cement.,One Square Metre,1085.0
White cement without any pigment.,One Square Metre,1071.0
Light shade pigment with ordinary cement.,One Square Metre,1066.0
Ordinary cement without any pigment.,One Square Metre,1027.0
Dark shade with ordinary cement .,One Square Metre,1111.0
Light shade with white cement,One Square Metre,1164.0
Medium shade (Appox) 50 % White 50 % ordinary cement .,One Square Metre,1129.0
White cement without any pigment .,One Square Metre,1110.0
Light shade pigment with Ordinary cement .,One Square Metre,1103.0
Ordinary cement without any pigment,One Square Metre,1048.0
Dark shade with ordinary cement,One Square Metre,1864.0
Light shade with white cement .,One Square Metre,1891.0
Medium shades 50 % white 50 % ordinary cement .,One Square Metre,1874.0
White cement without any pigment.,One Square Metre,1864.0
Light shade pigment with Orinary cement .,One Square Metre,1860.0
ordinary cement without any pigment .,One Square Metre,1833.0
40mm wide 4mm thick,One  Metre,92.0
Extra laying terrazo flooring on staircase treads,One Square Metre,98.0
"18mm thick crazy marble stone white, black or as specified.",One Square Metre,1715.0
Light shades using white cement .,One Square Metre,1549.0
Medium shade using 50 % white and 50 % ordinary cement .,One Square Metre,1507.0
Dark shade using ordinary cement .,One Square Metre,1450.0
ordinary cement without any pigment .,One Square Metre,1387.0
Extra if terrazo tiles are laid in treads,One Square Metre,124.0
Light shade using white cement.,One Square Metre,2423.0
Medium shade using 50 % White and 50 % ordinary cement.,One Square Metre,2371.0
Dark shade using ordinary cement .,One Square Metre,2309.0
ordinary cement without any pigment.,One Square Metre,2229.0
Light shade using white cement .,One Square Metre,1534.0
Medium shade using 50% white and 50 % ordinary cement .,One Square Metre,1484.0
Dark shade using ordinary cement .,One Square Metre,1442.0
Ordinary cement without shade,One Square Metre,1379.0
Light shade using white cement.,One Square Metre,1402.0
Medium shade using 50 % white cement 50 % grey cement.,One Square Metre,1328.0
Dark shade using ordinary cement.,One Square Metre,1120.0
Ordinary cement without any pigment.,One Square Metre,1056.0
Acid and alkali resistant tiles,One Square Metre,1738.0
Acid and alkali resistant tiles,One Square Metre,1885.0
8 mm thick.,One Square Metre,1475.0
Makrana White Second quality.,One Square Metre,3737.0
Raj Nagar Plain.,One Square Metre,2347.0
Agaria white.,One Square Metre,3165.0
Black Zebra.,One Square Metre,3001.0
Udaipur green marble.,One Square Metre,2429.0
Pink Plain Marble.,One Square Metre,2510.0
Extra for pre finished nosing to treads of steps of marble stone.,One  Metre,720.0
Extra for marble stone floor in treads of steps and risers using single length upto 2 m.,One Square Metre,852.0
25 mm thick.,One Square Metre,1948.0
Kotah stone slab 25mm thick in risers steps skirting in CM 1 : 3,One Square Metre,2355.0
Red sand stone.,One Square Metre,1280.0
White sand stone.,One Square Metre,1343.0
Red sand stone.,One Square Metre,1526.0
White sand stone.,One Square Metre,1589.0
Red sand stone.,One Square Metre,1647.0
White sand stone.,One Square Metre,1710.0
Extra for pre finished nosing in treads of steps of kota stone/ sand stone slab.,One  Metre,191.0
Extra for kota/sand stone flooring in treads of steps using single length upto 1.05m,One Square Metre,44.0
Second class teak wood.,One Square Metre,4509.0
Second class deodar wood.,One Square Metre,3030.0
38mm thick wood block flooring of Ist teakwood over 25 mm th CC 1:2:4,One Square Metre,12020.0
P/F MS angle 50x50x5 as nosing in steps of s/c,One Kilogram,178.0
"P/L ceramic glazed floor tiles 300x300mm of Ist quality white, Ivory, Grey, Fume Red brown laid on 20 mm thick CM 1:4",One Square Metre,1097.0
"P/F ceramic glazed floor tiles in all colours, shades except burgundy, bottle green, black in skirting, risers of steps and dados over 12 mm thick bed of cement Mortar 1:3",One Square Metre,1113.0
"P/L ceramic glazed floor tiles 300x300mm of Ist quality in all colours, except white, Ivory, Grey, Fume Red brown laid on 20 mm thick CM 1:4",One Square Metre,1315.0
"P/L rectified glazed ceramic floor tiles 300x300mm of Ist quality in colours, white, Ivory, Grey, Fume Red brown laid on 20mm thick bed of CM 1:4",One Square Metre,1330.0
"P/L rectified glazed ceramic floor tiles 300x300mm of Ist quality in colours, shades except white, Ivory, Grey, Fume Red brown laid on 20mm thick bed of CM 1:4",One Square Metre,1439.0
50 x 50 Cm.,One Square Metre,1524.0
60 x 60 Cm.,One Square Metre,1553.0
80 x 80 Cm.,One Square Metre,1886.0
100 x 100 Cm,One Square Metre,2090.0
Size of Tile 600 x 600 mm,One Square Metre,1454.0
Size of Tile 800 x 800 mm,One Square Metre,1535.0
Size of Tile 600 x 1200 mm,One Square Metre,1577.0
Size of Tile 800 x 1200 mm,One Square Metre,1870.0
Size of Tile 1000 x 1000 mm,One Square Metre,1802.0
Size of Tile 600 x 600 mm,One Square Metre,1503.0
Size of Tile 600 x 1200 mm,One Square Metre,1799.0
Size of Tile 800 x 800 mm,One Square Metre,1729.0
Size of Tile 800 x 1200 mm,One Square Metre,2057.0
Size of Tile 1200 x 1200 mm,One Square Metre,2541.0
Size of Tile 600 x 600 mm,One Square Metre,1465.0
Size of Tile 600 x 1200 mm,One Square Metre,1797.0
Size of Tile 800 x 800 mm,One Square Metre,1724.0
Size of Tile 800 x 1200 mm,One Square Metre,2057.0
Size of Tile 1200 x 1200 mm,One Square Metre,2839.0
Fixing glazed / ceramic/ Vitrified floor tiles with cement based high polymer modified quick-set tile adhesive,One Square Metre,753.0
Crazy Ceramic tile flooring with under 12 mm th. CM 1:4,One Square Metre,954.0
P/L 500x500x40 mm th. Turf paver on 15 mm th. Sub grade,One Square Metre,1708.0
Size of Tile 500x500 mm,One Square Metre,1594.0
Size of Tile 600x600 mm,One Square Metre,1623.0
Size of Tile 800x800 mm,One Square Metre,1958.0
Size of Tile 1000x1000 mm,One Square Metre,2163.0
"P/F glazed screen printed border tile 75mm wide in dado, over 12mm thick bed of cement mortar1:3",One Metre,216.0
Size of Tile 500x500 mm,One Square Metre,1865.0
Size of Tile 600x600 mm,One Square Metre,1894.0
Size of Tile 800x800 mm,One Square Metre,2229.0
Size of Tile 1000x1000 mm,One Square Metre,2433.0
Size of Tile 500x500 mm,One Square Metre,373.0
Size of Tile 600x600 mm,One Square Metre,309.0
Size of Tile 800x800 mm,One Square Metre,245.0
Size of Tile 1000x1000 mm,One Square Metre,175.0
Size of Tile 500x500 mm,One Square Metre,1696.0
Size of Tile 600x600 mm,One Square Metre,1725.0
Size of Tile 800x800 mm,One Square Metre,2061.0
Size of Tile 1000x1000 mm,One Square Metre,2265.0
"18 mm thick Italian Marble stone slab, Perlato, Rosso verona, Fire Red or Dark Emperadore etc.",One Square Metre,6927.0
P/F Glass mossaic tiles to wall surface of size 20mmx20mmx4mm in all colours,One Square Metre,3891.0
300 mm Finished Floor Height (FFH),One Square Metre,5624.0
450 mm Finished Floor Height (FFH).,One Square Metre,5977.0
"Flamed finish granite stone slab Jet Black, Cherry Red, Elite Brown, Cat Eye or equivalent.",One Square Metre,3187.0
"Polished Granite stone slab jet Black, Cherry Red, Elite Brown, Cat Eye or equivalent",One Square Metre,4481.0
"Polished Granite stone slab of all colour and texture except Black, Cherry/Ruby Red",One Square Metre,3071.0
1.00 mm thick.,One Square Metre,1457.0
0.80 mm thick.,One Square Metre,1258.0
0.63 mm thick.,One Square Metre,1088.0
1.00 mm thick.,One Running Metre,116.0
0.80 mm thick.,One Running Metre,93.0
0.63 mm thick.,One Running Metre,93.0
1.00 mm thick.,One Running Metre,671.0
0.80 mm thick.,One Running Metre,536.0
0.63 mm thick,One Running Metre,536.0
0.80 mm thick,One Running Metre,1083.0
0.63 mm thick .,One Running Metre,981.0
1.60 mm thick,One Running Metre,1864.0
1.00 mm thick,One Running Metre,858.0
0.80 mm thick .,One Running Metre,1030.0
0.63 mm thick .,One Running Metre,944.0
Providing Non-asbestos high impact Polypropylne RC 6mm thick corrugated sheet,One Square Metre,536.0
"Extra for straight cutting in non-asbestos high impact polypropylene RC corrugated, semi- corrugated 6mm thick sheet for chimney, skylight etc",One Running Metre,93.0
Extra for circular cutting in non-asbestos high impact polyropylene RC corrugated /semi-corrugated 6mm thick sheet,One Running Metre,257.0
Extra for P/F wind ties 40x6 mm flat,One Running Metre,196.0
Corrugated serrated adjustable ridges,One Metre,523.0
Plain wing adjustable ridges,One Metre,523.0
Closed fitting adjustable ridges,One Metre,586.0
Unserrated adjustable hips,One Metre,522.0
Corrugated Apron pieces.,One Running Metre,429.0
Eave's filler pieces.,One Running Metre,345.0
North light curves.,One Running Metre,567.0
Ventilator curves.,One Running Metre,627.0
Barge boards.,One Running Metre,725.0
Ridge finials.,Each Pair,304.0
Special North light curves.,Each,1014.0
S type louvers.,One Running Metre,560.0
Providing flat iron brackets 50x3mm size for fixing non- asbestos cement/ GS sheets gutters with purlins,One Running Metre,92.0
With residual type petroleum bitumen of grade VG - 10,One Square Metre,166.0
With common burnt clay F.P.S.(non modular) brick tile of class designation 10.,One Square Metre,1050.0
With machine moulded FPS brick tiles.,One Square Metre,1075.0
Extra for every addi 1cm thickness of mud phaska,One Square Metre,24.0
With common burnt clay F.P.S. (non modular) brick tiles of class designation 10,One Square Metre,607.0
P/L pressed clay brick tiles on roof laid over 20mm CM 1:4,One Square Metre,710.0
in 75 x 75 chase,One Running Metre,305.0
Making khurras 45x45cm with min thickness 5cm CC 1:2:4,Each,298.0
40 to 50 mm thick,One Square Metre,1138.0
40 to 50 mm thick,One Square Metre,1107.0
12 mm thick,One Square Metre,924.0
12 mm thick,One Square Metre,967.0
12 mm thick,One Square Metre,1122.0
12 mm thick,One Square Metre,1071.0
6 mm thick cement board,One Square Metre,922.0
6 mm thick Cement bonded wood particle board as per IS:14276,One Square Metre,891.0
2nd class teak wood planks 20 mm thick,One Running Metre,726.0
12 mm thick,One Running Metre,487.0
12 mm thick,One Running Metre,492.0
12 mm thick,One Running Metre,512.0
3 mm thick,One Running Metre,470.0
4.5 mm thick,One Running Metre,486.0
Extra for P/F ceiling to curved surfaces in narrow widths,One Square Metre,453.0
Flat surfaces.,One Square Metre,1719.0
Curved surfaces.,One Square Metre,2067.0
Extra for any sunk or raised mouldings in the plaster of Paris (Gypsum anhydrous) ceiling.,One Square Metre,607.0
Extra for providing plaster of Paris (Gypsum anhydrous) ceil- ing above 5 m height from floor level,sqm per metre height,266.0
"P/F thermal insulation ceiling with resin bonded fiber glass wool density 24 Kg/m3, 50 mm thick",One Square Metre,703.0
P/F thermal insulation with resin bonded fiber glass wool Density 16Kg/m3 50mm thick,One Square Metre,297.0
With Type N-Normal 50 mm thick.,One Square Metre,322.0
With type SE- self Extinguishing type 50 mm thick.,One Square Metre,353.0
SW spout,One Each,164.0
For 100 mm diametre pipe .,One Each,363.0
For 150 mm dia. pipes.,One Each,396.0
100 mm dia. pipe.,One Each,581.0
150 dia. pipe.,One Each,798.0
150 mm diameter,One Each,512.0
75 mm diametre.,One Running Metre,249.0
110 mm diametre.,One Running Metre,377.0
75 mm.,One Each,92.0
110 mm.,One Each,136.0
75 mm.,One Each,93.0
110 mm.,One Each,128.0
75 x 75 x 75 mm.,One Each,164.0
110 x 110 x 110 mm.,One Each,234.0
75 x 75 x 75 mm.,One Each,144.0
110 x 110 x 110 mm.,One Each,221.0
75 mm bend.,One Each,106.0
110 mm bend.,One Each,150.0
75 mm Shoe,One Each,93.0
110 mm shoe.,One Each,132.0
For 75 mm dia. pipes .,One Each,370.0
For 110 mm dia. pipes .,One Each,371.0
P/F to the inlet mouth of rain water pipe cast iron grating 15 cm diametre.,One Each,55.0
"12.5 mm thick tapered edge gypsum board conforming to IS: 2095, Part-I.",One Square Metre,1356.0
12.5 mm thick tapered edge gypsum fire resistant board conforming to IS: 2095- Part I.,One Square Metre,1520.0
12.5 mm thick tapered edge gypsum moisture resistant board.,One Square Metre,1529.0
Fully Perforated Gypsum Plaster Board of size 1200 x 2400x12.5 mm having approx.,One Square Metre,1744.0
